ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
addaf46	9944741	0cb7af73995042d25ec088008895e8a5	3b122390	Protector Aasimar	Acolyte	2020-08-02T16:48:50Z	Barbarian 3	Barbarian	Path of the Battlerager	3		32	14	15	14	14	10	11	10		Nature|Religion|Insight|Perception	Greatsword|Handaxe|Javelin		Int		NA	NA		NA	NA	Aasimar		Greatsword|Handaxe|Javelin	1-3	friendly_jackson
2b6e675	75f4ba0	23aed7cf47eaffcb63698318a71f508d	dede9b46	Human	Custom	2020-08-02T13:35:40Z	Cleric 1	Cleric	Life Domain	1	Observant	9	18	14	12	13	10	16	10		Athletics|History|Religion|Insight|Persuasion	Mace|Crossbow, light	Bless*1|Cure Wounds*1	Wis		South Africa	ZA		NA	NA	Human	Bless*1|Cure Wounds*1	Mace|Crossbow, Light	1-3	hopeful_euclid
	4d07362	a414c47bd993626f6faef73d6a70f520	e2903974	Mothfolk	Far Traveler	2020-08-02T03:57:32Z	Cleric 1	Cleric	Light Domain	1		11	16	12	16	16	7	19	8	True Neutral	Religion|Insight|Medicine|Perception	Mace|Crossbow, light	Light*0|Sacred Flame*0|Guidance*0|Thaumaturgy*0|Burning Hands*1|Faerie Fire*1|Cure Wounds*1|Detect Magic*1|Guilding Bolt*1|Sanctuary*1|Command*1	Wis		Canada	CA	NN	NA	NA		Light*0|Sacred Flame*0|Guidance*0|Thaumaturgy*0|Burning Hands*1|Faerie Fire*1|Cure Wounds*1|Detect Magic*1|Guiding Bolt*1|Sanctuary*1|Command*1	Mace|Crossbow, Light	1-3	priceless_wilson
	4d07362	0435753f4a9b5e94119e05cd4c50e518	d4166a2b	Forest Gnome	Entertainer	2020-08-02T03:54:33Z	Rogue 4	Rogue	Arcane Trickster	4		31	14	8	16	12	17	10	14	Chaotic Good	Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Performance	Rapier|Shortbow|Dagger	Minor Illusion*0|Mage Hand*0|Create Bonfire*0|Dancing Lights*0|Catapult*1|Sleep*1|Charm Person*1|Disguise Self*1	Int	expertise/Stealth*Deception	Canada	CA	CG	NA	NA	Gnome	Minor Illusion*0|Mage Hand*0|Create Bonfire*0|Dancing Lights*0|Catapult*1|Sleep*1|Charm Person*1|Disguise Self*1	Rapier|Shortbow|Dagger	4-7	adoring_burnell
2c88e4d	643c732	d4db88c1df23b6f5bb774bcf42977927	171aecb9	Wood Elf	Outlander	2020-07-31T20:22:19Z	Druid 5	Druid	Circle of the Moon	5		33	15	10	16	13	12	18	8		Athletics|Nature|Animal Handling|Perception|Survival	Scimitar		Wis		United States	US		NA	NA	Elf		Scimitar	4-7	nervous_swirles
61dbada	c001be2	4fdd9f3ae12e402fe318b30e8e7a9862	322d0891	Wood Elf	Urchin	2020-07-31T13:45:07Z	Ranger 8	Ranger	Gloom Stalker	8	Crossbow Expert|Sharpshooter	76	13	8	16	14	10	16	10		Sleight of Hand|Stealth|Nature|Insight|Perception|Survival	Shortsword +1|Longbow|Crossbow +2|+2 Cross Sharpshooter|Hand crossbow +1|+1 Hand Cross Sharp|Longsword +1	Disguise Self*1|Zephyr Strike*1|Hunters Mark*1|Cure Wounds*1|Rope Trick*2|Spike Growth*2|Healing Spirit*2	Wis	fighting style/Archery	United States	US		NA	NA	Elf	Disguise Self*1|Zephyr Strike*1|Hunter's Mark*1|Cure Wounds*1|Rope Trick*2|Spike Growth*2|Healing Spirit*2	Shortsword|Longbow|||Crossbow, hand||Longsword	8-11	sleepy_feistel
	029b3f3	e58fca0945b8bb4d1c9a106896784d12	545f17eb	Sentinel	Acolyte	2020-07-30T23:44:11Z	Warlock 10	Warlock	The Hexblade	10		54	12	10	12	11	15	11	16		Arcana|Investigation|Religion|Insight	Crossbow, light|Dagger	Mage Hand*0|Eldritch Blast*0|Minor Illusion*0|True Strike*0|Hellish Rebuke*1|Mirror Image*2|Misty Step*2|Remove Curse*3|Vampire Touch*3|Blight*4|Dimension Door*4|Banishment*4|Contact The Other Plane*5|Hold Monster*5	Cha	pact boon/Pact of the Blade|eldritch invocations/Misty Visions*Mask of Many Faces*Thief of Five Fates*Eldritch Smite*Sculptor of Flesh	Canada	CA		NA	NA		Mage Hand*0|Eldritch Blast*0|Minor Illusion*0|True Strike*0|Hellish Rebuke*1|Mirror Image*2|Misty Step*2|Remove Curse*3|Vampiric Touch*3|Blight*4|Dimension Door*4|Banishment*4|Contact Other Plane*5|Hold Monster*5	Crossbow, Light|Dagger	8-11	sleepy_austin
	029b3f3	352d974e95710bdf73b50cc8639c5f19	545f17eb	Sentinel	Acolyte	2020-07-30T23:27:47Z	Warlock 10	Warlock	The Hexblade	10		54	12	10	12	11	15	11	16		Arcana|Investigation|Religion|Insight	Crossbow, light|Dagger		Cha	pact boon/Pact of the Blade|eldritch invocations/Misty Visions*Mask of Many Faces*Thief of Five Fates*Eldritch Smite*Sculptor of Flesh	Canada	CA		NA	NA			Crossbow, Light|Dagger	8-11	sleepy_austin
	b8627be	3e64cf09497a1f747a6b0da0b550a400	491e0f40	Human	Soldier	2020-07-30T14:27:18Z	Fighter 1	Fighter		1	Sharpshooter	11	12	14	15	12	10	10	14		Athletics|Acrobatics|Insight|Perception|Intimidation	Longbow|Glaive		Int	fighting style/Archery	Canada	CA		NA	NA	Human		Longbow|Glaive	1-3	goofy_jang
019b429	6316ea5	6c5a84247bcf97bcef197a5a0b29a550	e94fbdb8	Warforged	Criminal	2020-07-30T07:14:24Z	Artificer 5	Artificer	Battle Smith	5		38	20	8	14	14	18	10	13		Stealth|Arcana|History|Investigation|Persuasion	Whip	Guidance*0|Mending*0|Heroism*1|Shield*1|Absorb Elements*1|Alarm*1|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Identify*1|Longstrider*1|Purify Food And Drink*1|Sanctuary*1|Snare*1|Branding Smite*2|Warding Bond*2	Int		Canada	CA		NA	NA	Warforged	Guidance*0|Mending*0|Heroism*1|Shield*1|Absorb Elements*1|Alarm*1|Catapult*1|Cure Wounds*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Faerie Fire*1|False Life*1|Feather Fall*1|Grease*1|Identify*1|Longstrider*1|Purify Food and Drink*1|Sanctuary*1|Snare*1|Branding Smite*2|Warding Bond*2	Whip	4-7	friendly_hopper
22fd9a6		16b4a3378159f937414c9e891fecfeb3	bdacf048	Protector Aasimar	Acolyte	2020-07-30T03:10:59Z	Paladin 5	Paladin	Oath of Devotion	5		18	18	15	10	16	13	16	18	LN	Religion|Insight|Medicine|Persuasion	Lance|Javelin|Longsword|Halberd|Silver Greatsword +1|Silvered Maul +1|Dagger	Light*0|Protection from Good and Evil*1|Sanctuary*1|Bless*1|Ceremony*1|Command*1|Compelled Dual*1|Cure Wounds*1|Detect Good and Evil*1|Detect Magic*1|Detect Poison and Disease*1|Divine Favor*1|Heroism*1|Purify Food and Drink*1|Searing Smite*1|Shield of Faith*1|Thunderous Smite*1|Wrathful Smite*1|Lesser Restoration*2|Zone of Truth*2|Aid*2|Branding Smite*2|Find Steed*2|Locate Object*2|Magic Weapon*2|Protection from Poison*2	Cha	fighting style/Great Weapon Fighting	NA	NA	LN	NA	NA	Aasimar	Light*0|Protection from Evil and Good*1|Sanctuary*1|Bless*1|Ceremony*1|Command*1|Compelled Duel*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Divine Favor*1|Heroism*1|Purify Food and Drink*1|Searing Smite*1|Shield of Faith*1|Thunderous Smite*1|Wrathful Smite*1|Lesser Restoration*2|Zone of Truth*2|Aid*2|Branding Smite*2|Find Steed*2|Locate Object*2|Magic Weapon*2|Protection from Poison*2	Lance|Javelin|Longsword|Halberd|Greatsword|Maul|Dagger	4-7	vibrant_wescoff
71069f4	9944741	024eabfa1fbf625bae68e54aa4b6f4fa	7a4c070c	Centaur	Custom	2020-07-30T01:37:44Z	Ranger 10	Ranger	Hunter	10		98	14	19	19	11	7	9	8		Athletics|Nature|Animal Handling|Insight|Perception|Survival	Spear|Handaxe|Longbow		Wis	fighting style/Archery	United States	US		NA	NA	Centaur		Spear|Handaxe|Longbow	8-11	confident_albattani
054a24e	a6cddd3	79f1cbe95875617fbeeff3b56b6680e2	56658175	Half-Dark Elf	Baby	2020-07-29T20:36:30Z	Sorcerer 13	Sorcerer	Wild Magic	13	Healer|Inspiring Leader|Mounted Combatant	53	10	3	8	11	10	10	15		Insight|Deception|Intimidation|Persuasion	Unarmed Strike	Fire Bolt*0|Friends*0|Minor Illusion*0|Prestidigitation*0|Light (Racial Feat)*0|Dancing Lights (Racial Feat)*0|Message*0|Shield*1|Chaos Bolt*1|Faerie Fire (1/Day)*1|Sleep*1|Enhance Ability*2|Shatter*2|Darkness (1/Day)*2|Alter Self*3|Erupting Earth*3|Dominate Beast*4|Intellect Fortress*4|Enervation*5|Dominate Person*5|Psychic Crush*6|Plane Shift*7	Cha	metamagic/Subtle Spell*Empowered Spell*Careful Spell	Canada	CA		NA	NA	Elf	Fire Bolt*0|Friends*0|Minor Illusion*0|Prestidigitation*0|Light*0|Dancing Lights*0|Message*0|Shield*1|Chaos Bolt*1|Faerie Fire*1|Sleep*1|Enhance Ability*2|Shatter*2|Darkness*2|*|Erupting Earth*3|Dominate Beast*4|*|Enervation*5|Dominate Person*5|*|Plane Shift*7	Unarmed Strike	12-15	affectionate_zhukovsky
054a24e	a6cddd3	5ca978ea67e374a04b57d4c978b355ca	9d78a7ab	Dark Elf	Entertainer	2020-07-29T20:36:19Z	Wizard 10|Warlock 5	Wizard|Warlock	School of Enchantment|The Archfey	15		82	10	10	10	13	20	14	14		Acrobatics|Arcana|Insight|Perception|Deception|Performance|Persuasion	Quarterstaff	Thunderclap (W)*0|Message (W)*0|Mending (W)*0|Shocking Grasp (W)*0|Acid Splash (W)*0|Eldritch Blast +2*0|Magic Stone*0|Infestation*0|Toll Of The Dead*0|Friends*0|Create Bonfire*0|Witch Bolt (W)*1|Mage Armour (W)*1|Magic Missile (W)*1|Snare (W)*1|Hex*1|Arms Of Hadar*1|Suggestion (W)*2|Rope Trick (W)*2|Melf's Acid Arrow (W)*2|Enthrall*2|Calm Emotions*2|Incite Greed (W)*3|Fireball (W)*3|Tiny Servant (W)*3|Hunger Of Hadar*3|Plant Growth*3|Evard's Black Tentacles (W)*4|Phantasmal Killer (W)*4|Charm Monster (W)*4|Dawn (W)*5|Bigby's Hand (W)*5	Int	eldritch invocations/Beguiling Influence*Armor of Shadows*Agonizing Blast|pact boon/Pact of the Tome	Canada	CA		NA	NA	Elf	Thunderclap*0|Message*0|Mending*0|Shocking Grasp*0|Acid Splash*0|Eldritch Blast*0|Magic Stone*0|Infestation*0|Toll the Dead*0|Friends*0|Create Bonfire*0|Witch Bolt*1|Mage Armor*1|Magic Missile*1|Snare*1|Hex*1|Arms of Hadar*1|Suggestion*2|Rope Trick*2|Melf's Acid Arrow*2|Enthrall*2|Calm Emotions*2|Animate Dead*3|Fireball*3|Tiny Servant*3|Hunger of Hadar*3|Plant Growth*3|Evard's Black Tentacles*4|Phantasmal Killer*4|Charm Monster*4|Dawn*5|Bigby's Hand*5	Quarterstaff	12-15	thirsty_fermi
0a8a989	9a7014b	e80cfd6d9180b1e5bafb97f68523c83a	d58e1514	Centaur	Athlete	2020-07-28T21:43:42Z	Fighter 1	Fighter		1		12	18	17	13	14	9	13	9	Neutral Good	Athletics|Acrobatics|Perception|Survival|Intimidation	Greatsword|Handaxe		Int	fighting style/Great Weapon Fighting	United States	US	NG	NA	NA	Centaur		Greatsword|Handaxe	1-3	vibrant_booth
cefa0da	490306f	3ecef1b97b813596b2719a7d76ccd479	bb725c6b	Half-Elf	Knight	2020-07-28T19:08:23Z	Warlock 9	Warlock	The Hexblade	9	Elven Accuracy	66	17	10	15	14	12	8	20		Acrobatics|Arcana|History|Investigation|Intimidation|Persuasion	Quarterstaff|Dagger		Cha	eldritch invocations/Improved Pact Weapon*Thirsting Blade*Eldritch Smite*Tomb of Levistus*Agonizing Blast|pact boon/Pact of the Blade	Israel	IL		NA	NA	Half-Elf		Quarterstaff|Dagger	8-11	confident_hermann
ff4c6b0	073ff4a	a50b214cb9547f858fa0a91398b88787	ebaada7b	Human	Far Traveler	2020-07-28T07:47:02Z	Sorcerer 3	Sorcerer	Wild Magic	3		17	12	14	15	13	9	11	16		Insight|Perception|Deception|Intimidation	Crossbow, light|Club	Dancing Lights*0|Frost Bite*0|Ray Of Frost*0|Shape Water*0|Burning Hands*1|Colour Spray*1|Ice Knife*1|Mage Armour*1|Shatter*2	Cha	metamagic/Quickened Spell*Empowered Spell	New Zealand	NZ		NA	NA	Human	Dancing Lights*0|Frostbite*0|Ray of Frost*0|Shape Water*0|Burning Hands*1|Color Spray*1|Ice Knife*1|Mage Armor*1|Shatter*2	Crossbow, Light|Club	1-3	distracted_boyd
		91022c0b73980582a55b436e1809f0bd	7098eb6a	High Elf	Soldier	2020-07-28T06:52:53Z	Fighter 6	Fighter	Eldritch Knight	6		72	21	10	20	14	19	12	10		Athletics|Acrobatics|Arcana|Perception|Survival|Intimidation	Rapier +1|Ray of Frost	Booming Blade*0|Ray of Frost*0|Green Flame Blade*0|Find Familiar*1|Absorb Elements*1|Protection from Evil*1|Shield*1	Int	fighting style/Dueling	Canada	CA		NA	NA	Elf	Booming Blade*0|Ray of Frost*0|Green-Flame Blade*0|Find Familiar*1|Absorb Elements*1|*|Shield*1	Rapier|	4-7	mystifying_hamilton
		87edb0a790976e4b6cd1a9daf6d72bd8	2a4c161a	Half-Orc	Barbarian Tribe Member	2020-07-28T06:51:10Z	Cleric 6	Cleric	Tempest Domain	6	Elemental Adept	25	18	12	14	12	10	18	12		Athletics|Religion|Medicine|Survival|Intimidation	Mace|Spear	Fire Bolt*0|Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3	Wis		Canada	CA		NA	NA	Half-Orc	Fire Bolt*0|Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3	Mace|Spear	4-7	clever_solomon
b174cac	5840675	838d92066eed836a5ed3e4e8dda7d430	5241dc42	Fallen Aasimar	Far Traveler	2020-07-27T16:48:59Z	Barbarian 8	Barbarian	Path of the Zealot	8	Alert|Dual Wielder	120	20	21	12	16	13	15	17		Athletics|Insight|Perception|Survival	Shortsword|Spear|Javelin		Int		United States	US		NA	NA	Aasimar		Shortsword|Spear|Javelin	8-11	stupefied_hypatia
907eed5	91baa00	dffb8c694e61c0d9d649b4b3c18ae9e2	c19c595c	Warforged	Cloistered Scholar	2020-07-26T17:28:06Z	Artificer 3	Artificer	Artillerist	3		27	15	10	14	16	16	10	8		Arcana|History|Investigation|Medicine|Perception	Crossbow, light|Spear|Crossbow, light	Mending*0|Shield*1|Thunderwave*1	Int		United Kingdom	GB		NA	NA	Warforged	Mending*0|Shield*1|Thunderwave*1	Crossbow, Light|Spear|Crossbow, Light	1-3	hopeful_shaw
65b95b9	8497668	a2ba21d8e77158f0d1a1c25c965c2a87	e04155ca	Protector Aasimar	Noble	2020-07-26T15:24:02Z	Paladin 1	Paladin		1		12	11	17	12	14	14	15	18		Athletics|History|Insight|Persuasion	Greatsword|Halberd|Javelin		Cha		United States	US		NA	NA	Aasimar		Greatsword|Halberd|Javelin	1-3	thirsty_elion
65b95b9	8497668	36d67ce8aa52442fe65c831e08b4acc2	e04155ca	Protector Aasimar	Noble	2020-07-25T22:32:45Z	Paladin 1	Paladin		1		12	11	17	12	14	14	15	18		Athletics|History|Insight|Persuasion	Greatsword|Halberd|Javelin		Cha		United States	US		NA	NA	Aasimar		Greatsword|Halberd|Javelin	1-3	thirsty_elion
8dc3873	452ba8a	1405fa997bf4d09207df8c3048b33934	3bdec192	Half-Orc	Outlander	2020-07-25T21:04:12Z	Barbarian 1|Warlock 1	Barbarian|Warlock	|The Fiend	2		19	15	18	13	16	11	12	14	Chaotic Neutral	Athletics|Nature|Perception|Survival|Intimidation	Greatclub|Javelin|Shortsword|Crossbow, light|Daggerx2	Green Flame Blade*0|Booming Blade*0|Hex*1|Hellish Rebuke*1	Cha		United States	US	CN	NA	NA	Half-Orc	Green-Flame Blade*0|Booming Blade*0|Hex*1|Hellish Rebuke*1	Greatclub|Javelin|Shortsword|Crossbow, Light|Dagger	1-3	gallant_mccarthy
b8ece8f	e04c415	ffb2e9fb203d1fc1f1ef4e70c163a324	3faa8436	Hill Dwarf	Far Traveler	2020-07-25T18:15:10Z	Cleric 3	Cleric	Tempest Domain	3		32	18	15	12	17	13	16	11		Religion|Insight|Perception|Survival	Warhammer|Sacred Flame	Sacred Flame*0|Guidance*0|Mending*0|Thunderwave*1|Clear Wounds*1|Create Or Destroy Water*1|Fog Cloud*1|Command*1|Detect Magic*1|Gust of Wind*2|Shatter*2|Zone Of Truth*2|Lesser Restoration*2	Wis		Poland	PL		NA	NA	Dwarf	Sacred Flame*0|Guidance*0|Mending*0|Thunderwave*1|Cure Wounds*1|Create or Destroy Water*1|Fog Cloud*1|Command*1|Detect Magic*1|Gust of Wind*2|Shatter*2|Zone of Truth*2|Lesser Restoration*2	Warhammer|	1-3	epic_lederberg
a45ccd0		3de1ba2a1ed047d2009937f2b5fbfd7f	678b8bcc	Half-Elf	Sailor	2020-07-25T17:57:18Z	Rogue 4	Rogue	Assassin	4		24	14	10	18	14	12	14	20		Athletics|Sleight of Hand|Stealth|Investigation|Perception|Intimidation	Rapier|Shortbow|Dagger		Int	expertise/Stealth	United States	US		NA	NA	Half-Elf		Rapier|Shortbow|Dagger	4-7	quirky_ganguly
0639f0a	be2f100	54fc5f8913a4a09f0255afd659341066	6ec57157	Half-Elf	House Agent /Harpers	2020-07-25T09:10:10Z	Warlock 8	Warlock	The Hexblade	8	Elven Accuracy|War Caster	96	19	10	14	18	11	13	20	CN	Arcana|Investigation|Perception|Survival|Deception|Persuasion	Longsword|Spear|Whip	Eldritch Blast*0|Minor Illusion*0|Mage Hand*0|Expeditious Retreat *1|Pro Good / Evil*1|Shield*1|Wrathful Smite *1|Find Familiar *1|Darkness *2|Invis*2|Earth Bind*2|Mind Spike*2|Blur*2|Branding Smite *2|Fly*3|Hunger Of Hadar*3|Blink*3|Ele Weapon*3|D Door*4|Phantasmal Killer*4|Staggering Smite*4	Cha	pact boon/Pact of the Chain|eldritch invocations/Repelling Blast*Agonizing Blast*Voice of the Chain Master*One with Shadows	United States	US	CN	NA	NA	Half-Elf	Eldritch Blast*0|Minor Illusion*0|Mage Hand*0|Expeditious Retreat*1|*|Shield*1|Wrathful Smite*1|Find Familiar*1|Darkness*2|*|Earthbind*2|Mind Spike*2|Blur*2|Branding Smite*2|Fly*3|Hunger of Hadar*3|Blink*3|*|*|Phantasmal Killer*4|Staggering Smite*4	Longsword|Spear|Whip	8-11	amazing_ganguly
16fb42d	c98f93e	560c1da955471f0f44744be3c1c4c845	13447c17	Loxodon	Guild Member - Harmony	2020-07-24T13:18:35Z	Druid 5	Druid	Circle of the Shepherd	5		48	17	10	8	16	10	18	14		Nature|Insight|Medicine|Persuasion	Quarterstaff|Shillelagh	Shillelagh*0|Magic Stone*0|Friends*0|Entangle*1|Faerie Fire*1|Healing Word*1|Ice Knife*1|Calm Emotions*2|Heat Metal*2|Hold Person*2|Conjure Animals*3|Dispel Magic*3	Wis		Italy	IT		NA	NA	Loxodon	Shillelagh*0|Magic Stone*0|Friends*0|Entangle*1|Faerie Fire*1|Healing Word*1|Ice Knife*1|Calm Emotions*2|Heat Metal*2|Hold Person*2|Conjure Animals*3|Dispel Magic*3	Quarterstaff|	4-7	festive_hypatia
16fb42d	c98f93e	71829cc6c3f5579186ff1febcd072a14	13447c17	Loxodon	Guild Member - Harmony	2020-07-24T13:15:25Z	Druid 5	Druid	Circle of the Shepherd	5		48	17	10	8	16	10	18	14		Nature|Insight|Medicine|Persuasion		Shillelagh*0|Magic Stone*0|Friends*0|Entangle*1|Faerie Fire*1|Healing Word*1|Ice Knife*1|Calm Emotions*2|Heat Metal*2|Hold Person*2|Conjure Animals*3|Dispel Magic*3	Wis		Italy	IT		NA	NA	Loxodon	Shillelagh*0|Magic Stone*0|Friends*0|Entangle*1|Faerie Fire*1|Healing Word*1|Ice Knife*1|Calm Emotions*2|Heat Metal*2|Hold Person*2|Conjure Animals*3|Dispel Magic*3		4-7	festive_hypatia
7d366c7	5a667ab	4944991799aa7ea5c7a2aacb4cde71da	338704be	Half-Elf	Custom	2020-07-24T12:13:37Z	Barbarian 20	Barbarian	Path of the Storm Herald	20	Alert|Elven Accuracy	274	21	24	18	24	10	13	11		Nature|Insight|Perception|Survival|Intimidation|Persuasion	Greataxe|Handaxe|Javelin		Int		Israel	IL		NA	NA	Half-Elf		Greataxe|Handaxe|Javelin	19-20	upbeat_jennings
3879d88	7bc80bf	92f159538b108b5935e85e2b50c5214e		Dragonborn	Soldier	2020-07-24T10:39:22Z	Fighter 1	Fighter		1		8	11	17	10	14	12	12	10		Athletics|Acrobatics|Perception|Intimidation	Longbow|Longsword|Longsword|Handaxe|Handaxe		Int	fighting style/Two-Weapon Fighting	Netherlands	NL		NA	NA	Dragonborn		Longbow|Longsword|Longsword|Handaxe|Handaxe	1-3	NA
fafa543	e812f32	10be03d10771ad010ca082e71c492f7d	200bbc8b	Half-Orc	Criminal	2020-07-24T02:59:29Z	Rogue 5	Rogue	Thief	5	Lucky	19	15	16	14	12	12	12	10		Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Deception|Intimidation	Shortswordx2|Daggerx2|Dartx20|Dagger+1		Int	expertise/Stealth*Athletics	New Zealand	NZ		NA	NA	Half-Orc		Shortsword|Dagger|Dart|Dagger	4-7	focused_ptolemy
889af34		7ae302a2d8b647b7055c3664b4e36848	0714849c	Earth Genasi	Folk Hero	2020-07-24T01:58:25Z	Paladin 5	Paladin	Oath of Devotion	5	Observant	34	10	16	10	11	12	14	17		Animal Handling|Insight|Survival|Persuasion	Morningstar|Morningstar|Spear	Protection from Evil and Good*1|Sanctuary*1|Detect Magic*1|Shield Of Faith*1|Lesser Restoration*2|Zone of Truth*2	Cha	fighting style/Protection	NA	NA		NA	NA	Genasi	Protection from Evil and Good*1|Sanctuary*1|Detect Magic*1|Shield of Faith*1|Lesser Restoration*2|Zone of Truth*2	Morningstar|Morningstar|Spear	4-7	friendly_elion
889af34	b216bb2	0c922a8dbb5c3f36577d23879386b6b3	0714849c	Earth Genasi	Folk Hero	2020-07-24T00:25:36Z	Paladin 5	Paladin	Oath of Vengeance	5	Observant	34	12	16	10	11	12	14	17		Animal Handling|Insight|Survival|Persuasion	Morningstar|Morningstar|Spear	Bane*1|Hunter’s Mark*1|Detect Magic*1|Shield Of Faith*1|Hold Person*2|Misty Step*2	Cha	fighting style/Protection	NA	NA		NA	NA	Genasi	Bane*1|Hunter's Mark*1|Detect Magic*1|Shield of Faith*1|Hold Person*2|Misty Step*2	Morningstar|Morningstar|Spear	4-7	friendly_elion
0e737dc	f5eb6f1	4ced2f6ab4433b01941ebb7d7f4552a9	472f070d	Human	Guild Artisan	2020-07-23T23:14:36Z	Warlock 4	Warlock	The Great Old One	4	Actor	31	14	8	14	14	10	12	19		Investigation|Insight|Deception|Intimidation|Persuasion	Dagger|Dagger|Dagger	Eldritch Blast*0|Friends*0|Mage Hand*0|Minor Illusion*0|Thaumaturgy*0|Armor of Agathys*1|Darkness*2|Detect Thoughts*2|Phantasmal Force*2|Suggestion*2	Cha	eldritch invocations/Mask of Many Faces*Agonizing Blast|pact boon/Pact of the Tome	United States	US		NA	NA	Human	Eldritch Blast*0|Friends*0|Mage Hand*0|Minor Illusion*0|Thaumaturgy*0|Armor of Agathys*1|Darkness*2|Detect Thoughts*2|Phantasmal Force*2|Suggestion*2	Dagger|Dagger|Dagger	4-7	relaxed_nash
ff1514f	dac87aa	393368be0ef14170ef6a81cc3f1559f5	a102bfa7	Half-Elf	Entertainer	2020-07-23T20:20:05Z	Bard 10	Bard	College of Lore	10	War Caster	90	13	10	14	16	10	10	18		Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Intimidation|Performance|Persuasion	Rapier|Dagger	Friends*0|Minor Illusion*0|Vicious Mockery*0|Mage Hand*0|Tasha's Hideous Laughter*1|Cure Wounds*1|Suggestion*2|Moon Beam*2|Enemies Abound*3|Major image*3|Bestow Curse*3|Fly*3|Fireball*3|Greater Invisibility*4|Polymorph*4|Geas*5|Teleportation Circle*5|Animate Object*5	Cha	expertise/Performance*Deception*Stealth*Persuasion	United Kingdom	GB		NA	NA	Half-Elf	Friends*0|Minor Illusion*0|Vicious Mockery*0|Mage Hand*0|Tasha's Hideous Laughter*1|Cure Wounds*1|Suggestion*2|Moonbeam*2|Enemies Abound*3|Major Image*3|Bestow Curse*3|Fly*3|Fireball*3|Greater Invisibility*4|Polymorph*4|Geas*5|Teleportation Circle*5|Animate Objects*5	Rapier|Dagger	8-11	amazing_cannon
8c609ba	be2f100	d6130e81e12d107731a955269543f217	9dc5ab96	Human	Hermit	2020-07-23T20:11:42Z	Monk 3	Monk	Way of the Drunken Master	3	Lucky	27	12	16	14	14	12	10	8		Arcana|History|Religion|Insight|Medicine|Performance	Dragon Pole|Dart|Unarmed strike		Int		United States	US		NA	NA	Human		|Dart|Unarmed Strike	1-3	hungry_haibt
22fd9a6	4b976c9	7babf00a8040055e013e17545d7186f2	a698ae0c	Human	Far Traveler	2020-07-23T19:49:03Z	Cleric 1	Cleric	Grave Domain	1	Healer	10	17	13	12	14	12	18	13	LN	Religion|Insight|Medicine|Perception|Persuasion	Mace|Handaxe	Spare the Dying*0|Light*0|Mending*0|Sacred Flame*0|Bane*1|False Life*1|Bless *1|Ceremony*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection from Evil and Good*1|Purify Food and Drink*1|Sanctuary*1|Shield of Faith*1	Wis		NA	NA	LN	NA	NA	Human	Spare the Dying*0|Light*0|Mending*0|Sacred Flame*0|Bane*1|False Life*1|Bless*1|Ceremony*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection from Evil and Good*1|Purify Food and Drink*1|Sanctuary*1|Shield of Faith*1	Mace|Handaxe	1-3	gifted_elgamal
9251276	490306f	3e8af4fff3b5ffa639ccc7f5807d3ba7	be0f23ba	Ghastly Halfling	Urchin	2020-07-23T18:10:53Z	Monk 9	Monk	Way of the Sun Soul	9		77	18	12	20	19	10	15	8		Acrobatics|Sleight of Hand|Stealth|Insight	Spear|Dart|Unarmed strike|Staff Of Strike		Wis		Israel	IL		NA	NA	Halfling		Spear|Dart|Unarmed Strike|	8-11	lucid_sutherland
9251276	490306f	885bb588889fb3855e7be1fdfe8d43db	be0f23ba	Ghastly Halfling	Urchin	2020-07-23T17:18:36Z	Monk 8	Monk	Way of the Sun Soul	8		68	18	12	20	19	10	15	8		Acrobatics|Sleight of Hand|Stealth|Insight	Spear|Dart|Unarmed strike|Staff Of Strik		Wis		Israel	IL		NA	NA	Halfling		Spear|Dart|Unarmed Strike|	8-11	lucid_sutherland
